基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
007696,嘉实融享货币,货币型-浮动净值,139.65,嘉实基金,112.0028,张文玥,2019-08-21,None,None,6.88%,None
007869,汇添富汇鑫货币B,货币型-浮动净值,0.47,汇添富基金,110.2824,王骏杰,2020-08-26,None,None,5.49%,None
007868,汇添富汇鑫货币A,货币型-浮动净值,0.05,汇添富基金,109.5377,王骏杰,2020-08-26,None,None,5.04%,None
007746,华安现金润利,货币型-浮动净值,0.64,华安基金,109.1445,孙丽娜,2021-03-08,None,None,5.52%,None
007858,鹏华浮动净值型发起式货币,货币型-浮动净值,0.11,鹏华基金,107.3359,叶朝明,2019-08-29,None,None,4.38%,None
007805,华宝浮动净值货币,货币型-浮动净值,0.12,华宝基金,105.9102,陈昕,2019-09-06,0.12%,-1.08,4.16%,None
007708,中银瑞福浮动净值型货币A,货币型-浮动净值,0.01,中银基金,103.4205,范静,2019-09-10,None,None,4.95%,None
007709,中银瑞福浮动净值型货币C,货币型-浮动净值,0.06,中银基金,103.4205,范静,2019-09-10,None,None,5.05%,None
003816,银华日利B,货币型-普通货币,22.59,银华基金,101.0500,王树丽,2018-06-07,None,None,6.24%,11.40%
511880,银华日利A,货币型-普通货币,836.25,银华基金,100.9230,王树丽,2018-06-07,1.45%,0.20,5.48%,10.06%
184801,鹏华前海万科REITS,REITs,29.91,鹏华基金,99.7290,刘方正,2015-08-06,2.73%,0.03,4.85%,20.27%
070002,嘉实增长混合,混合型-偏股,22.36,嘉实基金,14.2846,归凯,2018-12-04,15.72%,-1.07,-39.31%,27.80%
000011,华夏大盘精选混合A,混合型-灵活,32.63,华夏基金,13.0150,屠环宇,2024-03-26,18.08%,-0.81,-34.32%,10.64%
012628,华夏大盘精选混合C,混合型-灵活,0.13,华夏基金,12.7140,屠环宇,2024-03-26,18.07%,-0.84,-35.83%,None
910004,东方红启恒三年持有混合A,混合型-偏股,6.51,东方红资产管理,9.4038,张锋,2021-04-21,16.72%,-0.65,-25.40%,None
166301,华商新趋势优选灵活配置混合,混合型-灵活,104.65,华商基金,9.1380,周海栋,2015-05-14,21.10%,0.38,31.31%,241.22%
011724,东方红启恒三年持有混合B,混合型-偏股,99.46,东方红资产管理,9.0050,张锋,2021-04-21,16.72%,-0.72,-28.49%,None
260104,景顺长城内需增长混合,混合型-偏股,23.12,景顺长城基金,7.6530,刘彦春,2018-02-10,22.27%,-0.89,-45.71%,20.80%
162204,宏利行业精选混合A,混合型-偏股,6.62,宏利基金,6.5487,孟杰,2021-12-30,18.96%,-0.49,-21.79%,98.89%
015601,宏利行业精选混合C,混合型-偏股,0.47,宏利基金,6.4504,孟杰,2022-06-10,None,None,None,None
240008,华宝收益增长混合A,混合型-灵活,5.95,华宝基金,6.4250,毛文博,2015-04-09,19.76%,-0.60,-28.10%,33.92%
015573,华宝收益增长混合C,混合型-灵活,0.01,华宝基金,6.3394,毛文博,2022-04-22,None,None,None,None
660015,农银行业轮动混合A,混合型-偏股,4.52,农银汇理基金,6.0512,邢军亮,2021-07-15,26.80%,-0.09,-2.73%,122.79%
015850,农银行业轮动混合C,混合型-偏股,1.46,农银汇理基金,6.0021,邢军亮,2022-05-26,None,None,None,None
040035,华安逆向策略混合A,混合型-偏股,38.90,华安基金,5.4870,万建军,2022-01-26,19.82%,-0.36,-16.09%,109.27%
090018,大成新锐产业混合A,混合型-偏股,71.90,大成基金,5.4140,韩创,2019-01-10,20.88%,0.12,12.79%,232.76%
070006,嘉实服务增值行业混合,混合型-灵活,10.12,嘉实基金,5.4030,常蓁,2019-11-19,17.24%,-1.13,-44.91%,6.91%
013638,华安逆向策略混合C,混合型-偏股,0.26,华安基金,5.4000,万建军,2022-01-26,None,None,None,None
018460,大成新锐产业混合C,混合型-偏股,0.41,大成基金,5.3870,韩创,2023-05-31,None,None,None,None
000929,博时黄金D,指数型-其他,0.08,博时基金,5.3502,赵云阳,2015-10-08,11.24%,1.04,45.18%,69.14%
000930,博时黄金I,指数型-其他,4.22,博时基金,5.2530,赵云阳,2015-10-08,11.24%,1.04,45.16%,69.06%
006011,中信保诚稳鸿A,债券型-长债,2.97,中信保诚基金,5.2299,陈岚,2024-05-15,0.80%,3.45,13.28%,25.22%
021521,中信保诚稳鸿E,债券型-长债,None,中信保诚基金,5.2284,陈岚,2024-05-28,None,None,None,None
519091,新华泛资源优势混合,混合型-灵活,7.49,新华基金,5.1255,赖庆鑫,2023-11-23,20.91%,-0.39,-18.42%,94.15%
288002,华夏收入混合,混合型-偏股,15.79,华夏基金,5.0800,郑煜,2009-02-04,19.57%,-0.75,-34.65%,16.92%
000083,汇添富消费行业混合,混合型-偏股,139.09,汇添富基金,5.0290,胡昕炜,2016-04-08,22.44%,-0.85,-44.04%,21.65%
630002,华商盛世成长混合,混合型-偏股,39.62,华商基金,5.0289,周海栋,2017-12-21,20.86%,0.29,24.74%,111.79%
040005,华安宏利混合A,混合型-偏股,19.42,华安基金,5.0036,王春,2015-10-28,22.97%,-0.72,-38.60%,6.39%
016294,华安宏利混合C,混合型-偏股,0.01,华安基金,4.9487,王春,2022-08-11,None,None,None,None
110011,易方达优质精选混合(QDII),QDII-混合偏股,143.85,易方达基金,4.7043,张坤,2012-09-28,25.18%,-0.71,-41.67%,18.93%
000547,建信健康民生混合A,混合型-偏股,8.58,建信基金,4.6310,马牧青,2024-03-29,19.35%,-0.41,-18.21%,93.60%
014849,建信健康民生混合C,混合型-偏股,1.28,建信基金,4.5870,马牧青,2024-03-29,None,None,None,None
040025,华安科技动力混合A,混合型-偏股,13.92,华安基金,4.5510,李欣,2019-11-08,26.97%,-0.35,-21.64%,49.21%
960007,摩根新兴动力混合H,混合型-偏股,1.09,摩根资产管理,4.5459,杜猛,2015-07-24,26.65%,-0.49,-31.11%,84.12%
377240,摩根新兴动力混合A,混合型-偏股,44.58,摩根资产管理,4.5406,杜猛,2011-07-13,26.65%,-0.49,-31.04%,84.35%
519002,华安安信消费混合A,混合型-偏股,41.26,华安基金,4.4940,王斌,2018-10-31,15.50%,0.14,11.29%,180.35%
014975,华安科技动力混合C,混合型-偏股,0.28,华安基金,4.4940,李欣,2022-04-27,None,None,None,None
014642,摩根新兴动力混合C,混合型-偏股,2.41,摩根资产管理,4.4865,杜猛,2021-12-24,None,None,None,None
590008,中邮战略新兴产业混合,混合型-偏股,7.73,中邮基金,4.4460,吴尚,2022-02-09,27.48%,-0.48,-31.29%,30.46%
013686,华安安信消费混合C,混合型-偏股,2.87,华安基金,4.4230,王斌,2021-10-18,None,None,None,None
002031,华夏策略混合,混合型-灵活,5.25,华夏基金,4.4060,陈伟彦,2024-03-26,16.04%,-0.80,-30.32%,27.05%
110001,易方达平稳增长混合,混合型-平衡,27.49,易方达基金,4.3810,陈皓,2012-09-28,14.25%,-0.43,-13.14%,66.90%
000308,建信创新中国混合,混合型-偏股,8.20,建信基金,4.3640,邵卓,2015-05-22,20.59%,-0.35,-16.11%,60.86%
180012,银华富裕主题混合A,混合型-偏股,127.48,银华基金,4.3495,焦巍,2018-12-27,22.23%,-0.94,-47.68%,38.41%
920019,中金优势领航一年持有混合A,混合型-偏股,0.97,中金公司,4.3485,杨钊,2022-11-03,None,None,None,None
015233,银华富裕主题混合C,混合型-偏股,0.21,银华基金,4.3239,焦巍,2023-05-26,None,None,None,None
970206,中金优势领航一年持有混合C,混合型-偏股,0.03,中金公司,4.3070,杨钊,2022-11-03,None,None,None,None
519732,交银定期支付双息平衡混合,混合型-平衡,31.15,交银施罗德基金,4.2180,黄鼎,2021-09-29,15.69%,-0.69,-25.42%,35.76%
006210,东方臻宝纯债债券A,债券型-长债,11.57,东方基金,4.2148,郑雪莹,2020-05-11,0.59%,7.54,18.97%,25.24%
000584,新华鑫益灵活配置混合C,混合型-灵活,2.22,新华基金,4.1980,赖庆鑫,2023-11-23,22.41%,-0.37,-18.84%,108.13%
519674,银河创新成长混合A,混合型-偏股,103.71,银河基金,4.1975,郑巍山,2019-05-11,32.52%,-0.54,-40.87%,66.24%
270008,广发核心精选混合,混合型-偏股,8.46,广发基金,4.1700,程琨,2018-11-05,17.40%,-0.44,-17.46%,46.01%
700003,平安策略先锋混合,混合型-灵活,17.39,平安基金,4.1530,神爱前,2016-07-19,26.53%,-0.17,-8.85%,143.72%
014143,银河创新成长混合C,混合型-偏股,14.95,银河基金,4.1335,郑巍山,2021-11-22,None,None,None,None
519702,交银趋势混合A,混合型-偏股,54.75,交银施罗德基金,4.1322,杨金金,2020-05-06,16.37%,0.51,32.66%,197.27%
000628,大成高新技术产业股票A,股票型,69.32,大成基金,4.1062,刘旭,2015-07-29,14.06%,0.46,25.61%,137.76%
013430,交银趋势混合C,混合型-偏股,6.57,交银施罗德基金,4.0632,杨金金,2021-08-27,None,None,None,None
000418,景顺长城成长之星股票A,股票型,6.15,景顺长城基金,4.0620,周寒颖,2020-05-21,16.67%,-0.17,-4.11%,127.95%
021503,景顺长城成长之星股票C,股票型,None,景顺长城基金,4.0620,周寒颖,2024-05-17,None,None,None,None
011066,大成高新技术产业股票C,股票型,30.94,大成基金,4.0499,刘旭,2020-12-25,14.06%,0.42,24.12%,None
960016,交银成长混合H,混合型-偏股,0.01,交银施罗德基金,4.0403,王少成,2015-11-17,19.30%,-0.87,-39.31%,11.34%
020023,国泰事件驱动策略混合A,混合型-偏股,1.57,国泰基金,4.0331,林小聪,2017-06-19,20.78%,-0.79,-38.43%,77.90%
004685,金元顺安元启灵活配置混合,混合型-灵活,12.94,金元顺安基金,4.0305,缪玮彬,2017-11-14,17.07%,1.37,94.48%,253.12%
165516,中信保诚周期轮动混合(LOF)A,混合型-偏股,10.41,中信保诚基金,4.0159,孙浩中,2023-09-08,27.42%,-0.41,-26.65%,130.88%
015592,国泰事件驱动策略混合C,混合型-偏股,0.14,国泰基金,3.9804,林小聪,2022-05-20,None,None,None,None
519692,交银成长混合A,混合型-偏股,17.15,交银施罗德基金,3.9578,王少成,2015-03-24,19.29%,-0.87,-39.13%,13.36%
014335,中信保诚周期轮动混合(LOF)C,混合型-偏股,0.08,中信保诚基金,3.9571,孙浩中,2023-09-08,None,None,None,None
000480,东方红新动力混合A,混合型-灵活,18.68,东方红资产管理,3.9360,周云,2015-09-14,15.60%,-0.02,3.77%,77.38%
017493,东方红新动力混合C,混合型-灵活,2.37,东方红资产管理,3.9050,周云,2022-12-05,None,None,None,None
519679,银河主题混合A,混合型-偏股,3.66,银河基金,3.8949,祝建辉,2023-03-31,24.65%,-0.82,-46.08%,28.46%
470009,汇添富民营活力混合,混合型-偏股,21.37,汇添富基金,3.8940,马翔,2016-03-11,21.29%,-0.63,-31.53%,37.79%
018888,银河主题混合C,混合型-偏股,0.00,银河基金,3.8819,祝建辉,2023-08-04,None,None,None,None
000259,农银区间收益混合,混合型-灵活,4.88,农银汇理基金,3.8803,魏刚,2020-01-31,17.56%,-0.36,-13.83%,78.04%
110013,易方达科翔混合,混合型-偏股,46.52,易方达基金,3.8420,陈皓,2014-05-10,18.28%,-0.51,-21.74%,84.54%
720001,财通价值动量混合A,混合型-灵活,17.59,财通基金,3.8200,金梓才,2014-11-19,32.34%,-0.10,-5.38%,120.43%
519697,交银优势行业混合,混合型-灵活,41.94,交银施罗德基金,3.8010,何帅,2015-07-09,17.68%,-0.63,-26.08%,24.51%
001887,中欧价值智选混合E,混合型-灵活,1.60,中欧基金,3.7918,袁维德,2020-05-15,22.33%,-0.56,-29.31%,81.28%
000404,易方达新兴成长灵活配置,混合型-灵活,34.96,易方达基金,3.7810,蔡荣成,2023-05-06,27.96%,-0.38,-24.98%,96.52%
240009,华宝先进成长混合,混合型-偏股,7.82,华宝基金,3.7755,闫旭,2021-12-21,21.10%,-0.83,-40.93%,33.91%
519095,新华行业周期轮换混合A,混合型-偏股,1.70,新华基金,3.7671,张大江,2023-01-09,23.23%,-0.37,-19.85%,133.55%
540006,汇丰晋信大盘股票A,股票型,22.26,汇丰晋信基金,3.7453,闵良超,2023-03-18,18.62%,-0.68,-30.02%,13.72%
920003,中金新锐股票A,股票型,18.52,中金公司,3.7451,朱剑胜,2022-03-02,22.04%,-0.02,3.32%,None
019243,汇丰晋信大盘股票C,股票型,0.87,汇丰晋信基金,3.7366,闵良超,2023-11-13,None,None,None,None
000746,招商行业精选股票基金,股票型,25.21,招商基金,3.7280,李崟,2024-05-31,19.16%,-0.28,-11.32%,123.37%
920923,中金新锐股票C,股票型,4.22,中金公司,3.6675,朱剑胜,2022-03-02,22.03%,-0.04,1.78%,None
519760,交银新回报灵活配置混合C,混合型-灵活,64.61,交银施罗德基金,3.6410,王艺伟,2020-07-09,2.22%,-0.50,1.19%,27.19%
160916,大成优选混合(LOF)A,混合型-偏股,13.13,大成基金,3.6330,戴军,2015-05-21,14.81%,-0.44,-14.15%,54.69%
018008,大成优选混合(LOF)C,混合型-偏股,0.40,大成基金,3.6050,戴军,2023-03-02,None,None,None,None
000592,建信改革红利股票A,股票型,5.68,建信基金,3.5950,陶灿,2014-05-14,24.63%,-0.56,-32.55%,91.63%
370024,摩根核心优选混合A,混合型-偏股,5.58,摩根资产管理,3.5886,倪权生,2022-08-18,21.14%,-0.88,-43.04%,53.95%
910024,东方红启阳三年持有混合A,混合型-偏股,3.85,东方红资产管理,3.5852,郭乃幸,2021-03-15,19.12%,-0.66,-29.68%,None
016269,建信改革红利股票C,股票型,0.35,建信基金,3.5690,陶灿,2022-07-22,None,None,None,None
000619,东方红产业升级混合,混合型-灵活,35.59,东方红资产管理,3.5590,王延飞,2015-06-26,19.44%,-0.76,-34.96%,14.55%
003105,光大永鑫混合A,混合型-灵活,0.04,光大保德信基金,3.5530,詹佳,2020-05-23,3.86%,-0.20,2.16%,31.99%
910009,东方红启程三年持有混合A,混合型-偏股,4.18,东方红资产管理,3.5525,傅奕翔,2022-07-04,22.98%,-0.87,-45.84%,None
377010,摩根阿尔法混合A,混合型-偏股,7.63,摩根资产管理,3.5503,李博,2015-09-18,18.71%,-0.87,-37.99%,28.79%
270028,广发制造业精选混合A,混合型-偏股,27.87,广发基金,3.5480,李巍,2011-09-20,25.97%,-0.49,-30.15%,94.07%
015057,摩根核心优选混合C,混合型-偏股,0.00,摩根资产管理,3.5386,倪权生,2022-08-18,None,None,None,None
003106,光大永鑫混合C,混合型-灵活,0.03,光大保德信基金,3.5330,詹佳,2020-05-23,3.86%,-0.23,1.88%,31.35%
015637,摩根阿尔法混合C,混合型-偏股,0.00,摩根资产管理,3.5062,李博,2022-05-06,None,None,None,None
010023,广发制造业精选混合C,混合型-偏股,2.35,广发基金,3.4960,李巍,2020-09-22,25.96%,-0.51,-30.97%,None
217021,招商优势企业混合A,混合型-偏股,39.18,招商基金,3.4928,翟相栋,2022-04-29,28.48%,0.06,10.08%,68.08%
090015,大成内需增长混合A,混合型-偏股,2.00,大成基金,3.4870,张烨,2019-09-29,17.85%,-0.81,-33.86%,42.44%
960018,大成内需增长混合H,混合型-偏股,0.35,大成基金,3.4820,张烨,2019-09-29,17.86%,-0.81,-33.93%,42.24%
110022,易方达消费行业股票,股票型,218.94,易方达基金,3.4760,萧楠,2012-09-28,21.25%,-0.64,-32.12%,27.70%
019255,大成内需增长混合C,混合型-偏股,0.00,大成基金,3.4710,张烨,2023-09-27,None,None,None,None
017821,招商优势企业混合C,混合型-偏股,14.97,招商基金,3.4588,翟相栋,2023-01-30,None,None,None,None
240022,华宝资源优选混合A,混合型-偏股,13.50,华宝基金,3.4500,蔡目荣,2012-08-21,22.64%,0.14,14.50%,150.00%
166019,中欧价值智选混合A,混合型-灵活,33.55,中欧基金,3.4360,袁维德,2020-05-15,22.33%,-0.56,-29.31%,80.98%
202023,南方优选成长混合A,混合型-灵活,27.96,南方基金,3.4358,骆帅,2015-06-19,13.12%,-1.02,-31.65%,28.49%
910005,东方红启兴三年持有混合A,混合型-偏股,3.46,东方红资产管理,3.4133,杨仁眉,2021-10-29,None,None,None,None
010225,东方红启航三年持有混合B,混合型-偏股,8.62,东方红资产管理,3.4124,李竞,2020-10-29,22.88%,-0.75,-40.12%,None
910022,东方红启航三年持有混合A,混合型-偏股,5.20,东方红资产管理,3.4122,李竞,2020-10-29,22.88%,-0.75,-40.12%,None
010441,东方红启兴三年持有混合B,混合型-偏股,None,东方红资产管理,3.4084,杨仁眉,2024-04-18,None,None,None,None
011068,华宝资源优选混合C,混合型-偏股,5.74,华宝基金,3.4040,蔡目荣,2020-12-23,22.62%,0.12,13.13%,None
001856,易方达环保主题混合A,混合型-灵活,50.89,易方达基金,3.3760,祁禾,2017-12-27,24.13%,-0.08,-1.63%,179.01%
400007,东方策略成长混合,混合型-偏股,1.33,东方基金,3.3706,王然,2015-05-04,17.74%,-0.97,-40.14%,30.89%
019032,易方达环保主题混合C,混合型-灵活,4.71,易方达基金,3.3670,祁禾,2023-11-15,None,None,None,None
002061,国泰安康定期支付混合C,混合型-偏债,0.16,国泰基金,3.3490,茅利伟,2024-01-16,3.89%,-0.60,-2.45%,26.04%
002258,大成国企改革灵活配置混合A,混合型-灵活,14.61,大成基金,3.3060,韩创,2021-01-13,20.80%,0.44,35.38%,229.94%
910021,东方红启华三年持有混合A,混合型-偏股,3.14,东方红资产管理,3.2941,蔡志鹏,2021-04-22,16.55%,-0.70,-27.32%,None
019197,大成国企改革灵活配置混合C,混合型-灵活,0.28,大成基金,3.2930,韩创,2023-09-11,None,None,None,None
000577,安信价值精选股票,股票型,16.54,安信基金,3.2848,陈一峰,2014-04-21,17.36%,-0.90,-36.78%,19.66%
910006,东方红启盛三年持有混合A,混合型-偏股,5.38,东方红资产管理,3.2842,郭乃幸,2021-04-12,18.86%,-0.70,-30.97%,None
015692,富国通胀通缩主题轮动混合C,混合型-偏股,3.34,富国基金,3.2420,曹晋,2022-06-16,None,None,None,None
011313,东方红启华三年持有混合B,混合型-偏股,0.81,东方红资产管理,3.2373,蔡志鹏,2021-07-26,None,None,None,None
005206,南方优选成长混合C,混合型-灵活,1.21,南方基金,3.2367,骆帅,2017-12-01,13.13%,-1.08,-33.28%,23.44%
100039,富国通胀通缩主题轮动混合A,混合型-偏股,4.84,富国基金,3.2800,曹晋,2019-02-01,22.71%,-0.43,-22.71%,91.03%
519704,交银先进制造混合A,混合型-偏股,49.99,交银施罗德基金,3.2298,刘鹏,2018-05-29,19.32%,-0.54,-24.60%,87.50%
660004,农银策略价值混合,混合型-偏股,4.81,农银汇理基金,3.2267,陈富权,2015-06-06,17.27%,-0.64,-25.94%,73.68%
010442,东方红启盛三年持有混合B,混合型-偏股,5.14,东方红资产管理,3.2266,郭乃幸,2021-07-08,None,None,None,None
519672,银河蓝筹混合A,混合型-偏股,3.83,银河基金,3.2250,袁曦,2015-12-28,26.84%,-0.64,-40.07%,42.64%
004235,中欧价值智选混合C,混合型-灵活,14.98,中欧基金,3.2076,袁维德,2020-05-15,22.32%,-0.59,-30.99%,73.99%
000991,工银战略转型股票A,股票型,26.29,工银瑞信基金,3.2070,杜洋,2015-02-16,17.15%,-0.25,-8.32%,161.58%
377150,摩根健康品质生活混合A,混合型-偏股,10.87,摩根资产管理,3.1991,徐项楠,2021-11-12,23.02%,-0.66,-35.49%,51.69%
014963,交银先进制造混合C,混合型-偏股,0.39,交银施罗德基金,3.1990,刘鹏,2022-01-24,None,None,None,None
000136,民生加银策略精选混合A,混合型-灵活,16.73,民生加银基金,3.1980,孙伟,2014-07-07,20.34%,-0.76,-36.36%,45.23%
001487,宝盈优势产业混合A,混合型-灵活,9.87,宝盈基金,3.1967,杨思亮,2023-03-11,18.22%,0.11,10.84%,152.30%
200015,长城优化升级混合A,混合型-偏股,1.96,长城基金,3.1902,周诗博,2021-01-04,22.89%,-0.38,-20.27%,73.30%
001718,工银物流产业股票A,股票型,17.32,工银瑞信基金,3.1840,张宇帆,2016-03-01,18.64%,-0.24,-8.90%,131.90%
000527,南方新优享灵活配置混合A,混合型-灵活,36.61,南方基金,3.1748,章晖,2015-05-28,17.72%,-1.06,-43.41%,32.06%
162202,宏利周期混合,混合型-偏股,7.10,宏利基金,3.1718,庄腾飞,2024-01-03,24.04%,0.04,7.71%,167.23%
320018,诺安新动力灵活配置混合A,混合型-灵活,1.07,诺安基金,3.1660,杨琨,2014-06-07,15.87%,-0.40,-13.80%,69.94%
015001,工银物流产业股票C,股票型,1.85,工银瑞信基金,3.1660,张宇帆,2022-02-11,None,None,None,None
015669,银河蓝筹混合C,混合型-偏股,0.01,银河基金,3.1730,袁曦,2022-05-23,None,None,None,None
015346,摩根健康品质生活混合C,混合型-偏股,3.41,摩根资产管理,3.1633,徐项楠,2022-03-10,None,None,None,None
012771,宝盈优势产业混合C,混合型-灵活,4.55,宝盈基金,3.1594,杨思亮,2023-03-11,None,None,None,None
011473,工银战略转型股票C,股票型,1.43,工银瑞信基金,3.1540,杜洋,2021-02-05,17.14%,-0.28,-9.68%,None
240002,华宝宝康配置混合,混合型-灵活,3.58,华宝基金,3.1521,汤慧,2021-01-04,11.80%,-0.49,-12.24%,73.47%
009709,民生加银策略精选混合C,混合型-灵活,0.87,民生加银基金,3.1380,孙伟,2020-09-10,20.34%,-0.78,-37.30%,None
000336,农银研究精选混合,混合型-灵活,26.13,农银汇理基金,3.1366,魏刚,2022-03-23,22.28%,-0.47,-24.63%,181.51%
013274,长城优化升级混合C,混合型-偏股,0.17,长城基金,3.1361,周诗博,2021-08-11,None,None,None,None
014551,诺安新动力灵活配置混合C,混合型-灵活,0.08,诺安基金,3.1360,杨琨,2022-10-15,None,None,None,None
001018,易方达新经济混合,混合型-灵活,43.73,易方达基金,3.1340,陈皓,2015-02-12,18.70%,-0.38,-16.05%,105.37%
690007,民生加银景气行业混合A,混合型-偏股,9.92,民生加银基金,3.1250,王亮,2018-11-01,16.78%,-1.15,-44.39%,13.02%
163822,中银主题策略混合A,混合型-偏股,18.15,中银基金,3.1170,黄珺,2019-03-13,22.08%,-0.30,-14.74%,109.34%
260116,景顺长城核心竞争力混合A,混合型-偏股,21.08,景顺长城基金,3.1160,余广,2011-12-20,18.97%,-0.34,-13.95%,44.85%
001606,农银工业4.0混合,混合型-灵活,29.83,农银汇理基金,3.1154,张燕,2022-03-23,25.63%,-0.34,-19.84%,173.45%
001694,华安沪港深外延增长灵活配置混合A,混合型-灵活,27.49,华安基金,3.1050,胡宜斌,2022-01-26,23.53%,-0.44,-24.40%,103.47%
110002,易方达策略成长混合,混合型-偏股,7.87,易方达基金,3.1000,张琦,2022-04-21,21.35%,-0.69,-34.76%,12.97%
530012,建信积极配置混合,混合型-平衡,1.43,建信基金,3.0990,姚锦,2014-01-20,12.46%,-0.69,-19.72%,42.55%
960008,景顺长城核心竞争力混合H,混合型-偏股,0.30,景顺长城基金,3.0980,余广,2015-10-16,18.96%,-0.34,-14.20%,44.23%
015731,景顺长城核心竞争力混合C,混合型-偏股,3.19,景顺长城基金,3.0970,余广,2022-06-02,None,None,None,None
260101,景顺长城优选混合,混合型-偏股,38.74,景顺长城基金,3.0932,杨锐文,2014-10-25,19.98%,-0.60,-28.30%,50.55%
163415,兴全商业模式优选混合,混合型-偏股,108.96,兴证全球基金,3.0900,乔迁,2018-07-10,18.23%,-0.50,-21.37%,70.06%
015386,中银主题策略混合C,混合型-偏股,4.54,中银基金,3.0890,黄珺,2022-03-16,None,None,None,None
519736,交银新成长混合,混合型-偏股,79.54,交银施罗德基金,3.0820,王崇,2014-10-22,17.68%,-0.78,-32.49%,37.96%
020015,国泰区位优势混合A,混合型-偏股,1.74,国泰基金,3.0811,智健,2021-11-12,22.39%,-0.69,-36.45%,29.89%
110023,易方达医疗保健行业混合A,混合型-偏股,57.24,易方达基金,3.0800,杨桢霄,2016-08-20,24.92%,-0.54,-32.02%,71.49%
000220,富国医疗保健行业混合A,混合型-偏股,9.97,富国基金,3.0770,孙笑悦,2020-04-13,26.65%,-0.81,-48.86%,44.05%
540004,汇丰晋信2026周期混合,混合型-偏债,0.99,汇丰晋信基金,3.0721,闵良超,2021-09-30,8.52%,0.09,6.99%,64.17%
161706,招商优质成长混合(LOF),混合型-偏股,17.09,招商基金,3.0720,吴潇,2024-06-01,19.08%,-0.28,-11.34%,104.92%
000729,建信中小盘先锋股票A,股票型,14.86,建信基金,3.0710,周智硕,2020-09-18,22.73%,-0.03,2.40%,147.66%
019020,易方达医疗保健行业混合C,混合型-偏股,1.82,易方达基金,3.0700,杨桢霄,2023-10-18,None,None,None,None
009720,民生加银景气行业混合C,混合型-偏股,0.07,民生加银基金,3.0670,王亮,2020-09-10,16.76%,-1.17,-45.21%,None
014972,华安沪港深外延增长灵活配置混合C,混合型-灵活,1.36,华安基金,3.0660,胡宜斌,2022-05-10,None,None,None,None
519909,华安安顺灵活配置混合A,混合型-灵活,7.87,华安基金,3.0640,高钥群,2019-11-08,18.70%,-0.42,-18.07%,84.02%
000039,农银高增长混合,混合型-偏股,2.40,农银汇理基金,3.0566,张燕,2017-03-21,28.53%,-0.17,-10.06%,87.17%
660012,农银消费主题混合A,混合型-偏股,5.02,农银汇理基金,3.0558,徐文卉,2017-05-16,16.25%,-1.11,-41.70%,44.54%
050011,博时信用债券A/B,债券型-混合二级,49.57,博时基金,3.0480,过钧,2009-06-10,11.22%,-0.26,-4.27%,23.20%
016564,华安安顺灵活配置混合C,混合型-灵活,0.12,华安基金,3.0410,高钥群,2022-11-03,None,None,None,None
006590,南方新优享灵活配置混合C,混合型-灵活,1.97,南方基金,3.0408,章晖,2018-12-18,17.72%,-1.10,-44.76%,26.86%
015594,国泰区位优势混合C,混合型-偏股,0.10,国泰基金,3.0393,智健,2022-05-16,None,None,None,None
000124,华宝服务优选混合,混合型-偏股,5.22,华宝基金,3.0360,蔡目荣,2022-10-19,21.01%,-0.51,-24.91%,85.92%
013919,建信中小盘先锋股票C,股票型,1.93,建信基金,3.0370,周智硕,2021-10-27,None,None,None,None
000409,鹏华环保产业股票,股票型,16.45,鹏华基金,3.0320,孟昊,2019-07-24,28.49%,-0.52,-35.06%,103.35%
121010,国投瑞银瑞源灵活配置混合A,混合型-灵活,8.53,国投瑞银基金,3.0277,綦缚鹏,2020-07-10,11.28%,0.12,8.98%,127.39%
011151,富国医疗保健行业混合C,混合型-偏股,0.44,富国基金,3.0140,孙笑悦,2020-12-28,26.65%,-0.83,-49.78%,None
000574,宝盈新价值混合A,混合型-灵活,11.43,宝盈基金,3.0120,杨思亮,2020-04-09,16.19%,0.08,8.58%,109.46%
015572,国投瑞银瑞源灵活配置混合C,混合型-灵活,1.73,国投瑞银基金,3.0018,綦缚鹏,2022-04-20,None,None,None,None
470098,汇添富逆向投资混合A,混合型-偏股,8.57,汇添富基金,3.0010,董超,2020-06-29,19.86%,-0.60,-27.95%,64.08%
000652,博时裕隆灵活配置混合A,混合型-灵活,13.03,博时基金,2.9930,陈鹏扬,2015-08-24,17.43%,-0.78,-32.02%,29.90%
270021,广发聚瑞混合A,混合型-偏股,12.87,广发基金,2.9880,费逸,2017-07-19,23.84%,-0.75,-41.58%,45.97%
000532,景顺长城优势企业混合A,混合型-偏股,2.09,景顺长城基金,2.9760,邓敬东,2022-07-07,19.91%,-0.73,-34.46%,46.24%
015182,汇添富逆向投资混合D,混合型-偏股,0.01,汇添富基金,2.9740,董超,2022-03-07,None,None,None,None
013410,博时裕隆灵活配置混合C,混合型-灵活,0.00,博时基金,2.9560,陈鹏扬,2021-08-31,None,None,None,None
015181,汇添富逆向投资混合C,混合型-偏股,0.20,汇添富基金,2.9550,董超,2022-03-07,None,None,None,None
005855,中科沃土沃瑞混合A,混合型-灵活,0.41,中科沃土基金,2.9534,徐伟,2022-03-01,17.33%,-0.05,1.69%,184.61%
