基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
019952,平安价值远见混合A,混合型-偏股,2.47,平安基金,1.0216,何杰,2024-02-06,None,None,None,None
007443,浙商汇金聚盈中短债C,债券型-中短债,0.02,浙商证券资管,1.0215,宋怡健,2022-11-22,0.66%,1.65,7.98%,9.75%
017079,格林鑫利六个月持有期混合A,混合型-偏债,0.01,格林基金,1.0215,刘赞,2023-03-20,None,None,None,None
017800,招商恒鑫30个月封闭债,债券型-混合一级,80.25,招商基金,1.0215,李家辉,2023-02-22,None,None,None,None
017694,国联安恒瑞3个月定开债券,债券型-长债,1.01,国联安基金,1.0215,陆欣,2023-08-16,None,None,None,None
020130,蜂巢上清所0-3年政金债指数A,指数型-固收,15.95,蜂巢基金,1.0215,金之洁,2023-12-15,None,None,None,None
006491,南方1-3年国开债A,指数型-固收,104.44,南方基金,1.0214,夏晨曦,2018-11-08,0.72%,2.21,9.54%,16.86%
006565,光大尊泰定开债,债券型-长债,80.48,光大保德信基金,1.0214,邹强,2021-07-03,None,None,8.60%,None
010386,华安汇嘉精选混合C,混合型-偏股,6.14,华安基金,1.0214,王斌,2022-01-26,17.47%,-0.08,0.17%,None
004400,金信民兴债券A,债券型-长债,1.69,金信基金,1.0214,杨杰,2018-05-03,36.41%,0.49,70.47%,76.62%
008322,东方卓行18个月定开债券A,债券型-长债,81.22,东方基金,1.0214,刘长俊,2020-01-02,None,None,8.23%,None
014965,国投瑞银顺和一年定开债发起式,债券型-长债,35.81,国投瑞银基金,1.0214,李鸥,2022-05-31,None,None,None,None
015935,广发景华纯债C,债券型-长债,0.00,广发基金,1.0214,高翔,2022-06-09,None,None,None,None
016870,景顺长城稳健增益债券C,债券型-混合二级,0.02,景顺长城基金,1.0214,彭成军,2022-11-09,None,None,None,None
016433,财通资管睿兴债券C,债券型-长债,0.00,财通资管,1.0214,李杰,2023-07-25,None,None,None,None
009593,国泰中债1-3年国开债A,指数型-固收,35.36,国泰基金,1.0214,王玉,2020-08-27,0.68%,2.60,10.15%,None
007545,太平恒安三个月定开债,债券型-长债,41.67,太平基金,1.0214,吴超,2019-06-27,0.86%,2.96,12.61%,None
020327,华泰保兴尊益利率债6个月持有债券A,债券型-长债,1.86,华泰保兴基金,1.0214,周咏梅,2024-02-06,None,None,None,None
008726,平安添裕债券A,债券型-混合二级,0.47,平安基金,1.0213,韩克,2020-06-17,4.22%,-0.54,-2.29%,None
012042,鹏华银行C,指数型-股票,2.24,鹏华基金,1.0213,余展昌,2022-10-15,15.68%,-0.11,-0.75%,None
015621,英大安悦纯债债券C,债券型-长债,0.01,英大基金,1.0213,吕一楠,2022-06-06,None,None,None,None
018403,富国稳健添利债券E,债券型-混合二级,0.00,富国基金,1.0213,刘兴旺,2023-05-30,None,None,None,None
519717,交银施罗德中高等级信用债,债券型-长债,30.35,交银施罗德基金,1.0212,连端清,2022-07-06,0.51%,3.22,9.77%,None
519675,银河泰利纯债A,债券型-长债,4.90,银河基金,1.0212,何晶,2023-03-10,1.04%,2.09,11.46%,17.50%
005667,易方达富财纯债,债券型-长债,5.26,易方达基金,1.0212,杨真,2021-06-12,0.74%,2.32,9.93%,17.41%
